filename,label,classname
AnnualCrop\AnnualCrop_683.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2035.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_842.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1092.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1327.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1519.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2602.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1869.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_708.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_271.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2349.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2951.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_757.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1918.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1142.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2841.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1503.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_311.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1534.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1034.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1844.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2840.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2802.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_292.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_1077.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2185.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2302.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2614.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_642.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_18.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_2082.jpg,0,AnnualCrop
AnnualCrop\AnnualCrop_165.jpg,0,AnnualCrop
